employee_id,hire_date,salary,days_worked,work_email,dept_id,performance_score
EMP-000177,2021-11-23,138541.43,174,,DEPT02,4.89
EMP-000178,2024-01-30,138358.39,241,,DEPT01,3.07
EMP-000179,2024-12-01,133713.12,180,,DEPT01,1.82
EMP-000180,2020-03-09,149109.51,62,,DEPT05,3.6
EMP-000181,2022-10-20,104944.64,177,,DEPT06,2.83
EMP-000182,2016-10-22,81084.35,223,,DEPT01,1.34
EMP-000183,2017-02-16,70717.7,243,,DEPT06,4.52
EMP-000184,2026-08-18,37372.6,210,vytc@gmail.com,DEPT02,4.98
EMP-000185,2026-09-03,59382.33,235,rzsu@gmail.com,DEPT03,2.62
EMP-000186,2026-05-15,95748.33,203,bgpubs@corp.io,DEPT01,4.87
EMP-000187,2027-02-26,42920.04,245,cany@corp.io,DEPT01,3.76
EMP-000188,2026-07-02,115714.09,80,asjeiqae@outlook.com,DEPT02,4.92
EMP-000189,2027-01-19,95129.9,52,fdxwkx@gmail.com,DEPT03,3.0
EMP-000190,2027-01-21,41671.41,235,ayosodbw@corp.io,DEPT02,2.38
EMP-000191,2026-09-06,119535.54,81,awstrwor@outlook.com,DEPT05,4.36
EMP-000192,2026-07-18,105996.33,81,ysymls@outlook.com,DEPT06,4.58
EMP-000193,2027-01-10,84064.78,127,gqlm@gmail.com,DEPT04,2.06
EMP-000194,2026-12-27,97880.48,71,ubgnvcev@yahoo.com,DEPT06,1.84
EMP-000195,2026-06-21,61764.12,243,zwgujt@corp.io,DEPT05,2.59
EMP-000196,2016-04-08,-31784.1,15,amfeom@gmail.com,DEPT05,3.49
EMP-000197,2024-11-17,-5857.62,87,aynljofu@gmail.com,DEPT05,3.83
EMP-000198,2016-10-29,-2018.82,14,gkfs@outlook.com,DEPT04,1.07
EMP-000199,2018-06-10,-35359.0,42,hwhyxee@yahoo.com,DEPT02,2.08
EMP-000200,2017-11-23,-103507.82,18,xwiz@yahoo.com,DEPT01,1.38
EMP-000201,2023-11-03,-131335.42,249,gdpq@outlook.com,DEPT04,1.2
EMP-000202,2018-01-09,-57704.39,179,zmeekcig@corp.io,DEPT06,1.22
EMP-000203,2020-10-07,-87459.99,159,gafsqwez@gmail.com,DEPT05,1.48
EMP-000204,2020-03-10,-89468.44,194,cmdpiqo@corp.io,DEPT03,3.0
EMP-000205,2018-11-14,-50331.43,197,qbwvs@gmail.com,DEPT01,4.53
EMP-000206,2024-10-15,-127788.17,52,nooz@outlook.com,DEPT01,3.79
EMP-000207,2019-04-02,-109697.86,240,ehkeh@yahoo.com,DEPT04,2.63
EMP-000208,2016-08-24,109690.78,158,kqmk@outlook.com,UNKNOWN01,3.71
EMP-000209,2020-07-21,118531.15,77,izbijl@corp.io,UNKNOWN01,2.56
EMP-000210,2023-03-11,37817.39,51,hljvgro@corp.io,UNKNOWN05,1.69
EMP-000211,2021-07-17,63221.12,16,bsemf@gmail.com,UNKNOWN02,2.3
EMP-000212,2019-08-07,33367.53,69,yyckmrob@gmail.com,UNKNOWN01,4.13
EMP-000213,2019-02-03,93507.27,96,qtdtr@yahoo.com,UNKNOWN04,3.62
EMP-000214,2023-11-30,117880.15,86,lgabw@yahoo.com,UNKNOWN05,4.33
EMP-000215,2023-10-22,116945.26,167,keio@yahoo.com,UNKNOWN01,2.62
EMP-000216,2023-10-03,52261.67,49,yvka@gmail.com,UNKNOWN04,2.82
EMP-000217,2021-07-31,32412.94,256,rkesny@yahoo.com,UNKNOWN01,1.02
EMP-000218,2021-07-19,40608.53,26,wstg@yahoo.com,UNKNOWN02,3.33
EMP-000219,2021-06-29,136335.69,151,cqqqpn@corp.io,UNKNOWN01,1.29
EMP-000220,2020-03-27,127521.49,200,vgqe@corp.io,UNKNOWN01,2.03
EMP-000221,2017-12-28,84829.38,56,sbefjud@gmail.com,UNKNOWN01,1.11
EMP-000222,2020-02-17,137585.22,169,psmuao@outlook.com,UNKNOWN04,1.38
EMP-000223,2022-01-13,138038.18,228,bjiooeu@outlook.com,UNKNOWN03,2.63
EMP-000224,2016-08-29,94760.43,238,blbrqd@gmail.com,UNKNOWN05,3.06
EMP-000225,2017-12-31,83788.62,95,yzfjuncr@corp.io,UNKNOWN01,2.59
EMP-000226,2023-12-29,39108.13,152,fttqdtzd@outlook.com,UNKNOWN03,2.59
EMP-000227,2016-02-19,140118.03,21,jswmynro@outlook.com,UNKNOWN01,2.05
EMP-000228,2023-05-29,134118.92,128,qjeem@corp.io,UNKNOWN02,3.4
EMP-000229,2017-12-20,92005.36,81,hkcl@corp.io,UNKNOWN02,4.87
EMP-000230,2019-05-07,42858.64,242,xlbzlhp@gmail.com,UNKNOWN04,2.32
EMP-000231,2020-11-25,60011.82,224,muyxczss@yahoo.com,UNKNOWN02,4.87
EMP-000232,2020-12-02,131876.37,87,vlefbx@yahoo.com,UNKNOWN03,3.27
EMP-000233,2024-12-12,101589.54,226,olib@outlook.com,DEPT03,1.86
EMP-000234,2024-04-13,37732.4,183,anqon@yahoo.com,DEPT02,3.17
EMP-000235,2021-11-27,67658.65,243,wddzb@yahoo.com,DEPT06,2.47
EMP-000236,2016-03-08,118517.74,52,xpilfu@outlook.com,DEPT04,3.38
EMP-000237,2023-11-04,30074.03,78,fqpof@yahoo.com,DEPT02,1.09
EMP-000238,2023-01-04,82638.79,17,clagglw@yahoo.com,DEPT01,2.01
EMP-000239,2020-02-16,66372.47,161,zbdcfw@corp.io,DEPT03,4.53
EMP-000240,2019-07-11,119945.69,115,lkqx@gmail.com,DEPT04,2.59
EMP-000241,2023-11-16,109502.81,157,vuzc@gmail.com,DEPT01,2.04
EMP-000242,2019-01-13,104285.79,245,tofnonay@corp.io,DEPT04,2.98
EMP-000243,2017-06-10,30985.84,122,lzxrmjun@outlook.com,DEPT06,4.08
EMP-000244,2015-10-21,134635.24,64,icqu@outlook.com,DEPT06,1.27
EMP-000245,2024-02-08,62887.27,98,kmaa@yahoo.com,DEPT01,3.57
EMP-000246,2017-07-03,95822.64,199,alsdnp@yahoo.com,DEPT02,2.91
EMP-000247,2015-01-19,138554.99,32,irkaya@gmail.com,DEPT06,1.97
EMP-000248,2021-01-16,106489.57,24,snlbda@corp.io,DEPT02,2.84
EMP-000249,2016-03-18,145754.97,175,vgrlpdqp@gmail.com,DEPT05,3.66
EMP-000250,2023-03-03,93139.67,124,pedkqyw@outlook.com,DEPT04,4.46
EMP-000251,2016-11-13,97874.79,204,dzpoyppk@corp.io,DEPT04,3.61
EMP-000252,2020-06-10,51826.61,72,stgml@outlook.com,DEPT01,2.21
EMP-000253,2016-09-27,148056.5,10,awvgfbf@gmail.com,DEPT05,4.18
EMP-000254,2019-02-04,64649.66,246,xntvmspe@gmail.com,DEPT04,4.99
EMP-000255,2023-05-27,108727.63,164,qzpklkh@yahoo.com,DEPT01,1.37
EMP-000256,2022-04-14,106515.88,234,eieec@corp.io,DEPT03,1.81
EMP-000257,2017-03-13,128382.59,31,xctdzpjq@yahoo.com,DEPT03,4.07
EMP-000258,2023-06-16,69319.18,40,awvohh@corp.io,DEPT05,3.38
EMP-000259,2020-05-26,37696.31,28,frsum@yahoo.com,DEPT01,4.47
EMP-000260,2024-05-20,147755.49,248,hoodrwo@corp.io,DEPT01,3.15
EMP-000261,2020-04-18,118260.32,141,otpbrm@outlook.com,DEPT01,2.13
EMP-000262,2020-10-07,144383.67,123,rikia@gmail.com,DEPT06,1.36
EMP-000263,2024-12-19,84638.95,225,avpskc@gmail.com,DEPT03,1.35
EMP-000264,2018-01-12,32874.02,32,evxmkol@corp.io,DEPT04,4.17
EMP-000265,2015-10-22,110100.73,4,rcrx@gmail.com,DEPT06,3.09
EMP-000266,2016-09-12,106744.17,8,dcbuxm@gmail.com,DEPT05,2.42
EMP-000267,2020-05-21,108247.82,89,vmipfd@outlook.com,DEPT01,1.11
EMP-000268,2021-03-30,55174.95,165,qmlzgcm@corp.io,DEPT01,2.41
EMP-000269,2016-02-10,148520.33,72,epqq@corp.io,DEPT01,2.37
EMP-000270,2016-11-28,131133.14,199,jodsj@yahoo.com,DEPT02,3.21
EMP-000271,2018-09-16,60413.62,79,lfjubqoa@gmail.com,DEPT06,2.95
EMP-000272,2021-08-26,54022.22,173,brkxbvt@yahoo.com,DEPT04,1.73
EMP-000273,2019-05-04,130001.04,39,wwdeee@outlook.com,DEPT02,1.73
EMP-000274,2020-09-08,74865.39,60,abydaql@outlook.com,DEPT01,4.13
EMP-000275,2015-01-23,146262.72,173,feraro@outlook.com,DEPT02,2.98
EMP-000276,2018-11-24,78333.39,7,fzvoyfr@yahoo.com,DEPT03,2.59
EMP-000277,2020-04-11,83132.04,240,ylpxjbpj@gmail.com,DEPT02,2.45
EMP-000278,2016-08-24,102776.69,113,aclhlu@gmail.com,DEPT06,3.31
EMP-000279,2022-02-20,113729.1,184,scely@yahoo.com,DEPT06,4.44
EMP-000280,2020-04-17,65566.53,210,ixnfsi@yahoo.com,DEPT05,3.12
EMP-000281,2017-05-02,148440.21,203,rivak@gmail.com,DEPT06,2.11
EMP-000282,2023-01-13,125034.93,260,azhkx@gmail.com,DEPT02,4.59
EMP-000283,2015-08-25,84545.7,63,bncv@gmail.com,DEPT02,1.49
EMP-000284,2023-04-09,109351.67,17,xceunsb@corp.io,DEPT06,2.58
EMP-000285,2017-12-06,144333.08,233,qhscma@gmail.com,DEPT05,1.97
EMP-000286,2015-05-04,55671.79,81,ddjkjrkw@gmail.com,DEPT04,1.84
EMP-000287,2024-11-03,109963.47,217,esadbugl@yahoo.com,DEPT03,3.8
EMP-000288,2016-05-05,107199.58,178,assocxwl@yahoo.com,DEPT06,4.85
EMP-000289,2023-06-22,64672.42,235,kylp@corp.io,DEPT02,1.05
EMP-000290,2023-04-24,104618.23,142,zivm@corp.io,DEPT04,2.81
EMP-000291,2015-03-01,54398.48,43,hwdniji@outlook.com,DEPT04,1.03
EMP-000292,2021-09-14,100622.38,228,frvjdro@corp.io,DEPT05,3.73
EMP-000293,2015-08-05,125532.22,150,yimwhnwc@outlook.com,DEPT03,2.85
EMP-000294,2016-06-02,95723.43,32,jcobm@yahoo.com,DEPT04,1.64
EMP-000295,2024-02-12,38743.18,121,sqjclymx@corp.io,DEPT04,4.4
EMP-000296,2020-06-05,105832.22,157,dxierlq@corp.io,DEPT04,3.47
EMP-000297,2018-11-24,73381.88,239,ylfapir@corp.io,DEPT04,4.06
EMP-000298,2017-07-31,127452.4,70,hlshe@outlook.com,DEPT05,2.02
EMP-000299,2018-06-04,78971.71,224,aziyektz@yahoo.com,DEPT03,3.66
EMP-000300,2021-08-31,98611.82,131,lagwdbxz@corp.io,DEPT04,1.39
EMP-000301,2018-02-08,39739.15,115,kfgus@yahoo.com,DEPT06,3.1
EMP-000302,2021-07-31,53677.78,93,cgypwz@outlook.com,DEPT01,2.31
EMP-000303,2020-08-15,142223.67,240,lsqxw@gmail.com,DEPT06,1.31
EMP-000304,2021-04-27,99127.76,203,vkch@gmail.com,DEPT05,3.8
EMP-000305,2016-01-11,37878.66,78,zgzabbxe@outlook.com,DEPT02,4.67
EMP-000306,2016-08-30,132016.03,37,dcppap@yahoo.com,DEPT05,3.23
EMP-000307,2018-10-29,55947.43,253,jdflybeu@corp.io,DEPT04,3.36
EMP-000308,2015-05-20,135984.32,79,obefkygm@yahoo.com,DEPT04,4.61
EMP-000309,2015-07-03,109860.72,56,pqixlv@outlook.com,DEPT03,1.79
EMP-000310,2017-02-19,98977.57,4,yjzsyeay@yahoo.com,DEPT03,3.59
EMP-000311,2022-09-02,139977.59,55,uplc@gmail.com,DEPT05,4.22
EMP-000312,2022-11-01,78616.88,32,ooxuwhry@gmail.com,DEPT05,4.57
EMP-000313,2023-09-21,108817.79,233,mdlqznes@yahoo.com,DEPT02,4.07
EMP-000314,2017-11-14,76905.94,96,zichkx@yahoo.com,DEPT04,3.15
EMP-000315,2022-02-18,93560.97,157,xjxgfdvj@gmail.com,DEPT02,3.68
EMP-000316,2020-11-14,149633.36,90,kyydogja@corp.io,DEPT05,4.63
EMP-000317,2022-05-06,63743.48,117,sbta@corp.io,DEPT06,3.62
EMP-000318,2020-09-12,31496.07,86,gtgubvee@corp.io,DEPT01,4.82
EMP-000319,2022-03-26,85903.41,84,fxjgr@yahoo.com,DEPT05,2.01
EMP-000320,2022-04-02,33666.43,195,zszhhfvd@outlook.com,DEPT06,4.09
EMP-000321,2018-09-29,33571.84,115,vwrulch@yahoo.com,DEPT03,1.82
EMP-000322,2024-03-08,57008.58,151,maiinki@corp.io,DEPT06,3.99
EMP-000323,2024-08-25,144776.4,192,biyvednd@outlook.com,DEPT02,3.96
EMP-000324,2016-05-24,53450.49,176,hgcd@gmail.com,DEPT05,2.47
EMP-000325,2022-01-24,56536.74,229,swpu@gmail.com,DEPT05,3.76
EMP-000326,2016-05-16,76426.82,170,szqvgmp@gmail.com,DEPT02,2.91
EMP-000327,2016-08-06,87403.29,240,ysjub@gmail.com,DEPT04,4.27
EMP-000328,2017-10-09,113653.19,14,qlqgju@yahoo.com,DEPT01,2.54
EMP-000329,2017-06-13,31856.6,142,pnbik@corp.io,DEPT06,4.43
EMP-000330,2022-06-23,101549.38,180,htggu@corp.io,DEPT01,2.31
EMP-000331,2023-09-21,75627.46,131,djtgt@outlook.com,DEPT03,4.36
EMP-000332,2021-05-29,76916.98,201,ptwlcm@corp.io,DEPT01,2.67
EMP-000333,2017-01-23,52618.44,224,aeno@corp.io,DEPT05,1.69
EMP-000334,2019-10-27,52306.43,184,pwhn@outlook.com,DEPT02,4.46
EMP-000335,2019-05-07,97021.98,244,tikahf@corp.io,DEPT02,3.58
EMP-000336,2024-03-11,73028.33,25,liuwdmhu@corp.io,DEPT03,3.35
EMP-000337,2019-04-23,136948.23,32,tgqt@yahoo.com,DEPT06,3.91
EMP-000338,2018-03-03,124163.59,10,qezbrvb@corp.io,DEPT05,2.86
EMP-000339,2017-12-19,38338.58,63,rqmvcw@outlook.com,DEPT03,1.92
EMP-000340,2020-04-26,46705.4,171,wdhuiv@gmail.com,DEPT04,1.7
EMP-000341,2021-02-11,95882.91,103,hjgfc@corp.io,DEPT03,3.61
EMP-000342,2015-01-04,43485.19,205,clqxpzl@corp.io,DEPT05,1.29
EMP-000343,2023-02-21,32238.25,29,fsluatt@corp.io,DEPT06,4.05
EMP-000344,2021-05-08,38559.95,64,ezveb@corp.io,DEPT01,3.51
EMP-000345,2018-09-07,130337.25,86,nmrr@corp.io,DEPT04,4.09
EMP-000346,2021-11-12,133752.67,142,qxwphq@gmail.com,DEPT06,4.34
EMP-000347,2020-03-24,41989.63,106,gmaikrs@corp.io,DEPT01,3.95
EMP-000348,2018-11-12,114360.75,162,mxvlhfeo@gmail.com,DEPT01,2.83
EMP-000349,2024-05-03,72175.38,92,eouq@corp.io,DEPT04,3.09
EMP-000350,2019-07-06,80777.25,243,ooelhisn@corp.io,DEPT05,2.9
