employee_id,hire_date,salary,days_worked,work_email,dept_id,performance_score
EMP-000133,2017-10-15,75181.42,252,mibm@gmail.com,DEPT03,3.97
EMP-000134,2019-09-18,133186.72,35,bonr@corp.io,DEPT03,3.28
EMP-000135,2017-06-17,129186.26,259,qybzso@yahoo.com,DEPT06,3.57
EMP-000136,2020-03-19,84874.81,18,aaympidu@gmail.com,DEPT02,4.3
EMP-000137,2017-07-03,127274.2,14,osjlh@corp.io,DEPT03,2.4
EMP-000138,2023-08-23,122023.76,254,yxdtw@outlook.com,DEPT04,4.91
EMP-000139,2019-12-07,57348.34,34,yofzgdal@gmail.com,DEPT05,1.15
EMP-000140,2019-06-03,65247.86,222,ollh@outlook.com,DEPT01,4.74
EMP-000141,2018-04-09,139553.81,201,qergl@gmail.com,DEPT02,4.05
EMP-000142,2017-04-27,57526.31,60,lixexkv@outlook.com,DEPT04,2.63
EMP-000143,2016-01-10,68134.52,78,gypmdem@gmail.com,DEPT03,1.9
EMP-000144,2018-04-06,135321.59,220,jhmopoxo@corp.io,DEPT06,2.07
EMP-000145,2016-10-24,78774.32,61,wnhmoiyn@corp.io,DEPT01,1.86
EMP-000146,2020-10-08,141349.62,13,rqjzzslj@gmail.com,DEPT02,4.78
EMP-000147,2021-02-08,35347.32,54,fknwvvbm@yahoo.com,DEPT06,3.63
EMP-000148,2018-05-28,99350.77,112,xasmo@yahoo.com,DEPT03,1.51
EMP-000149,2022-09-27,143570.06,183,hqmhrqdg@outlook.com,DEPT05,3.36
EMP-000150,2024-09-17,68035.29,110,vtrw@yahoo.com,DEPT05,2.19
